tiempo total: 0:22:12.605642
tiempo creacion kb: 0:07:20.071364
tiempo para responder consulta: 0:14:50.601923
         3571956642 function calls (3566612386 primitive calls) in 1332.730 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     62/1    0.000    0.000 1332.730 1332.730 {built-in method builtins.exec}
        1    0.025    0.025 1332.730 1332.730 prueba.py:1(<module>)
        1    0.041    0.041 1332.581 1332.581 prueba.py:212(test2)
        3    0.105    0.035 1158.159  386.053 NetDERKB.py:21(add_ont_knowledge)
    44882   67.783    0.002 1155.464    0.026 OntDB.py:28(add_atom)
336534481  694.030    0.000 1087.634    0.000 Atom.py:55(__eq__)
        1    0.050    0.050  890.598  890.598 NetDERChase.py:316(answer_query)
        1    0.000    0.000  440.065  440.065 NetDERKB.py:12(__init__)
336720245  149.809    0.000  194.881    0.000 Term.py:19(__eq__)
        2    0.947    0.474  135.315   67.658 NetDERChase.py:148(applyStepTGDChase)
        2    0.203    0.102  132.640   66.320 NetDERChase.py:70(get_body_mapping)
673498258   80.280    0.000   80.280    0.000 Atom.py:12(get_terms)
1010423568/1010423542   78.294    0.000   78.294    0.000 {built-in method builtins.len}
    51464    0.038    0.000   71.229    0.001 NetDiffInterpretation.py:31(areSatisfied)
    35508   16.910    0.000   71.190    0.002 NetDiffInterpretation.py:20(isSatisfied)
        4    0.040    0.010   65.246   16.311 NetDERChase.py:27(_get_atoms_mapping)
        4    0.360    0.090   65.206   16.301 Homomorphism.py:28(get_atoms_mapping)
 66376704   20.316    0.000   58.145    0.000 NetDiffGraphElement.py:15(equals)
436794419   54.699    0.000   54.699    0.000 Term.py:7(getId)
    32004   13.268    0.000   52.045    0.002 Homomorphism.py:11(get_atom_mapping)
 83860641   18.316    0.000   42.280    0.000 {built-in method builtins.isinstance}
336776482   40.368    0.000   40.368    0.000 Atom.py:9(getId)
 49916882   28.404    0.000   37.977    0.000 GRE.py:9(is_mapped)
