tiempo total: 0:05:58.612821
tiempo creacion kb: 0:01:36.292503
tiempo para responder consulta: 0:04:16.703378
         1050620873 function calls (1047945851 primitive calls) in 358.727 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    80/62    0.001    0.000    0.067    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
    93939    0.046    0.000    0.065    0.000 const.py:38(__neg__)
      448    0.005    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        4    0.009    0.002    0.064    0.016 NetDB.py:16(_load_comp_atoms)
   263784    0.063    0.000    0.063    0.000 interval.py:158(lower)
   370742    0.062    0.000    0.062    0.000 {built-in method __new__ of type object at 0x00007FFDF0876810}
    25001    0.057    0.000    0.062    0.000 Constant.py:5(__init__)
        1    0.000    0.000    0.059    0.059 NetDERChase.py:16(__init__)
     1782    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     1782    0.053    0.000    0.053    0.000 {built-in method nt.stat}
       34    0.000    0.000    0.053    0.002 <frozen importlib._bootstrap_external>:1173(__iter__)
       34    0.000    0.000    0.052    0.002 <frozen importlib._bootstrap_external>:1160(_recalculate)
        2    0.000    0.000    0.052    0.026 NetDERKB.py:31(add_net_knowledge)
        2    0.000    0.000    0.052    0.026 NetDB.py:67(add_knowledge)
   268804    0.051    0.000    0.051    0.000 interval.py:165(upper)
    41780    0.038    0.000    0.049    0.000 Label.py:10(__eq__)
    46464    0.045    0.000    0.045    0.000 Term.py:34(__str__)
    62626    0.024    0.000    0.044    0.000 <string>:1(__new__)
    76928    0.027    0.000    0.041    0.000 Term.py:31(can_be_instanced)
   308722    0.039    0.000    0.039    0.000 {built-in method builtins.hasattr}
    86012    0.021    0.000    0.038    0.000 {method 'remove' of 'list' objects}
        1    0.001    0.001    0.037    0.037 prueba.py:182(get_netDiffGraph)
     8000    0.010    0.000    0.037    0.000 random.py:386(choices)
     1269    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
   308076    0.036    0.000    0.036    0.000 {built-in method builtins.issubclass}
        1    0.002    0.002    0.034    0.034 prueba.py:165(get_new_graph)
   216320    0.033    0.000    0.033    0.000 Term.py:28(isInstanced)
        1    0.000    0.000    0.031    0.031 subprocess.py:332(call)
     1063    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        2    0.000    0.000    0.028    0.014 subprocess.py:1074(wait)
        2    0.000    0.000    0.028    0.014 subprocess.py:1349(_wait)
        1    0.028    0.028    0.028    0.028 {built-in method _winapi.WaitForSingleObject}
       59    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     8000    0.020    0.000    0.026    0.000 random.py:399(<listcomp>)
    62626    0.017    0.000    0.026    0.000 const.py:48(__eq__)
    42618    0.019    0.000    0.025    0.000 interval.py:189(atomic)
   193088    0.023    0.000    0.023    0.000 Term.py:10(getValue)
        2    0.000    0.000    0.022    0.011 __init__.py:1(<module>)
    62626    0.015    0.000    0.021    0.000 const.py:70(__eq__)
       59    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:969(get_data)
    97360    0.020    0.000    0.020    0.000 {method 'keys' of 'dict' objects}
    93940    0.019    0.000    0.019    0.000 const.py:27(__new__)
    94918    0.019    0.000    0.019    0.000 interval.py:172(right)
        1    0.000    0.000    0.017    0.017 NetDERKB.py:1(<module>)
       59    0.016    0.000    0.016    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.014    0.014 NetDERChase.py:1(<module>)
    65416    0.014    0.000    0.014    0.000 interval.py:151(left)
        6    0.000    0.000    0.013    0.002 NetDiffGlobalRule.py:22(aggregate)
        6    0.007    0.001    0.013    0.002 Average.py:8(aggregate)
        2    0.000    0.000    0.012    0.006 NetDB.py:11(__init__)
    32238    0.012    0.000    0.012    0.000 Term.py:3(__init__)
     6000    0.006    0.000    0.011    0.000 NetDiffWorld.py:31(getBound)
    76928    0.010    0.000    0.010    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.010    0.010 dict.py:1(<module>)
    14468    0.008    0.000    0.010    0.000 NetDERKB.py:61(get_net_diff_graph)
        1    0.001    0.001    0.010    0.010 prueba.py:201(get_NetDiffFacts)
    31991    0.008    0.000    0.008    0.000 NetDiffGraphElement.py:12(getLabels)
     6754    0.008    0.000    0.008    0.000 NetDiffEdge.py:7(__init__)
    17000    0.007    0.000    0.007    0.000 NetDiffNode.py:7(__init__)
