tiempo total: 0:00:45.148841
tiempo creacion kb: 0:00:01.685444
tiempo para responder consulta: 0:00:41.848863
         146217963 function calls (145885781 primitive calls) in 45.264 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     62/1    0.000    0.000   45.264   45.264 {built-in method builtins.exec}
        1    0.004    0.004   45.264   45.264 prueba.py:1(<module>)
        1    0.005    0.005   45.145   45.145 prueba.py:212(test2)
        1    0.006    0.006   41.848   41.848 NetDERChase.py:316(answer_query)
        2    0.001    0.000   33.934   16.967 NetDiffProgram.py:14(diffusion)
        2    0.024    0.012   29.282   14.641 NetDiffInterpretation.py:46(applyLocalRule)
     4000    0.004    0.000   15.779    0.004 NetDiffLocalRule.py:29(influence)
     4000    3.019    0.001   15.775    0.004 EnhancedTipping.py:10(influence)
     8000    0.006    0.000    9.566    0.001 NetDiffInterpretation.py:79(_get_neighbours)
     8000    6.413    0.001    9.560    0.001 NetDiffGraph.py:58(get_neighbours)
 12095818    5.123    0.000    8.692    0.000 NetDiffGraphElement.py:15(equals)
 28341681    3.813    0.000    7.742    0.000 {built-in method builtins.isinstance}
     4000    0.016    0.000    6.759    0.002 NetDiffInterpretation.py:82(_get_qualified_neigh)
  8000000    2.192    0.000    6.695    0.000 NetDiffEdge.py:30(__eq__)
    24422    0.010    0.000    5.974    0.000 NetDiffInterpretation.py:31(areSatisfied)
     8454    1.473    0.000    5.964    0.001 NetDiffInterpretation.py:20(isSatisfied)
  7988268    4.460    0.000    5.811    0.000 NetDiffNode.py:32(__eq__)
        2    0.010    0.005    4.950    2.475 NetDERChase.py:148(applyStepTGDChase)
        2    0.008    0.004    4.834    2.417 NetDERChase.py:70(get_body_mapping)
        3    0.002    0.001    4.437    1.479 NetDERKB.py:21(add_ont_knowledge)
     2784    0.219    0.000    4.286    0.002 OntDB.py:28(add_atom)
  1295164    2.599    0.000    4.065    0.000 Atom.py:55(__eq__)
 11588001    2.231    0.000    3.929    0.000 abc.py:96(__instancecheck__)
 32501232    3.254    0.000    3.254    0.000 NetDiffNode.py:29(getId)
        2    0.009    0.005    2.720    1.360 NetDiffInterpretation.py:58(applyGlobalRule)
     6000    0.691    0.000    2.684    0.000 NetDiffInterpretation.py:69(getBound)
     4006    0.485    0.000    1.927    0.000 NetDiffInterpretation.py:98(_na_update)
      944    0.618    0.001    1.827    0.002 NetDiffInterpretation.py:38(applyFact)
 11588001    1.698    0.000    1.698    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    1.680    1.680 NetDERKB.py:12(__init__)
