tiempo total: 0:01:59.743951
tiempo creacion kb: 0:00:23.362923
tiempo para responder consulta: 0:01:34.035263
         383691800 function calls (382358288 primitive calls) in 119.850 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     62/1    0.000    0.000  119.850  119.850 {built-in method builtins.exec}
        1    0.008    0.008  119.850  119.850 prueba.py:1(<module>)
        1    0.019    0.019  119.736  119.736 prueba.py:212(test2)
        1    0.015    0.015   94.034   94.034 NetDERChase.py:316(answer_query)
        3    0.014    0.005   62.062   20.687 NetDERKB.py:21(add_ont_knowledge)
    11194    3.555    0.000   61.438    0.005 OntDB.py:28(add_atom)
 20936409   36.790    0.000   57.876    0.000 Atom.py:55(__eq__)
        2    0.001    0.000   33.819   16.909 NetDiffProgram.py:14(diffusion)
        2    0.026    0.013   29.077   14.538 NetDiffInterpretation.py:46(applyLocalRule)
        1    0.000    0.000   23.357   23.357 NetDERKB.py:12(__init__)
        2    0.064    0.032   20.955   10.477 NetDERChase.py:148(applyStepTGDChase)
        2    0.032    0.016   20.485   10.242 NetDERChase.py:70(get_body_mapping)
 22883758    7.752    0.000   17.313    0.000 NetDiffGraphElement.py:15(equals)
    29502    0.014    0.000   16.710    0.001 NetDiffInterpretation.py:31(areSatisfied)
    13728    3.607    0.000   16.696    0.001 NetDiffInterpretation.py:20(isSatisfied)
     4000    0.003    0.000   15.627    0.004 NetDiffLocalRule.py:29(influence)
     4000    3.164    0.001   15.624    0.004 EnhancedTipping.py:10(influence)
 39377885    6.421    0.000   13.835    0.000 {built-in method builtins.isinstance}
 20982797    7.941    0.000   10.282    0.000 Term.py:19(__eq__)
     8000    0.006    0.000    9.560    0.001 NetDiffInterpretation.py:79(_get_neighbours)
     8000    6.534    0.001    9.555    0.001 NetDiffGraph.py:58(get_neighbours)
 22408001    4.119    0.000    7.413    0.000 abc.py:96(__instancecheck__)
  8000000    2.136    0.000    6.714    0.000 NetDiffEdge.py:30(__eq__)
     4000    0.016    0.000    6.698    0.002 NetDiffInterpretation.py:82(_get_qualified_neigh)
        4    0.011    0.003    6.066    1.516 NetDERChase.py:27(_get_atoms_mapping)
        4    0.074    0.018    6.055    1.514 Homomorphism.py:28(get_atoms_mapping)
  7989818    4.144    0.000    5.492    0.000 NetDiffNode.py:32(__eq__)
63062680/63062654    4.360    0.000    4.360    0.000 {built-in method builtins.len}
 41979986    4.312    0.000    4.312    0.000 Atom.py:12(get_terms)
1162761/66373    1.554    0.000    3.701    0.000 copy.py:128(deepcopy)
 22408001    3.294    0.000    3.294    0.000 {built-in method _abc._abc_instancecheck}
 32464924    3.189    0.000    3.189    0.000 NetDiffNode.py:29(getId)
99961/43985    0.119    0.000    3.181    0.000 copy.py:199(_deepcopy_list)
     8004    0.676    0.000    3.114    0.000 Homomorphism.py:11(get_atom_mapping)
153544/70368    0.439    0.000    3.061    0.000 copy.py:257(_reconstruct)
        2    0.011    0.005    2.924    1.462 NetDiffInterpretation.py:58(applyGlobalRule)
 27505155    2.920    0.000    2.920    0.000 Term.py:7(getId)
     6000    0.732    0.000    2.882    0.000 NetDiffInterpretation.py:69(getBound)
175932/78368    0.389    0.000    2.732    0.000 copy.py:225(_deepcopy_dict)
  3231194    1.680    0.000    2.246    0.000 GRE.py:9(is_mapped)
 20996814    2.188    0.000    2.188    0.000 Atom.py:9(getId)
     3613    2.180    0.001    2.180    0.001 {built-in method builtins.print}
