tiempo total: 0:01:07.829162
tiempo creacion kb: 0:00:06.229234
tiempo para responder consulta: 0:01:00.171969
         200486820 function calls (199821012 primitive calls) in 67.935 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     62/1    0.000    0.000   67.935   67.935 {built-in method builtins.exec}
        1    0.005    0.005   67.935   67.935 prueba.py:1(<module>)
        1    0.010    0.010   67.825   67.825 prueba.py:212(test2)
        1    0.008    0.008   60.171   60.171 NetDERChase.py:316(answer_query)
        2    0.001    0.000   38.004   19.002 NetDiffProgram.py:14(diffusion)
        2    0.034    0.017   33.054   16.527 NetDiffInterpretation.py:46(applyLocalRule)
     4000    0.005    0.000   17.720    0.004 NetDiffLocalRule.py:29(influence)
     4000    3.518    0.001   17.715    0.004 EnhancedTipping.py:10(influence)
        3    0.006    0.002   17.322    5.774 NetDERKB.py:21(add_ont_knowledge)
     5586    0.960    0.000   16.994    0.003 OntDB.py:28(add_atom)
  5213849   10.230    0.000   16.031    0.000 Atom.py:55(__eq__)
 15672804    6.498    0.000   12.441    0.000 NetDiffGraphElement.py:15(equals)
     8000    0.007    0.000   10.809    0.001 NetDiffInterpretation.py:79(_get_neighbours)
     8000    7.299    0.001   10.802    0.001 NetDiffGraph.py:58(get_neighbours)
        2    0.025    0.013   10.713    5.356 NetDERChase.py:148(applyStepTGDChase)
 32000801    5.070    0.000   10.699    0.000 {built-in method builtins.isinstance}
    26182    0.014    0.000   10.460    0.000 NetDiffInterpretation.py:31(areSatisfied)
        2    0.021    0.010   10.449    5.225 NetDERChase.py:70(get_body_mapping)
    10232    2.488    0.000   10.447    0.001 NetDiffInterpretation.py:20(isSatisfied)
     4000    0.021    0.000    7.699    0.002 NetDiffInterpretation.py:82(_get_qualified_neigh)
  8000000    2.412    0.000    7.496    0.000 NetDiffEdge.py:30(__eq__)
  7988192    4.907    0.000    6.404    0.000 NetDiffNode.py:32(__eq__)
        1    0.000    0.000    6.222    6.222 NetDERKB.py:12(__init__)
 15192001    3.187    0.000    5.628    0.000 abc.py:96(__instancecheck__)
 32472304    3.586    0.000    3.586    0.000 NetDiffNode.py:29(getId)
  5237021    2.230    0.000    2.870    0.000 Term.py:19(__eq__)
        2    0.010    0.005    2.774    1.387 NetDiffInterpretation.py:58(applyGlobalRule)
     6000    0.692    0.000    2.735    0.000 NetDiffInterpretation.py:69(getBound)
        4    0.005    0.001    2.481    0.620 NetDERChase.py:27(_get_atoms_mapping)
        4    0.039    0.010    2.476    0.619 Homomorphism.py:28(get_atoms_mapping)
 15192001    2.441    0.000    2.441    0.000 {built-in method _abc._abc_instancecheck}
     4006    0.573    0.000    2.208    0.001 NetDiffInterpretation.py:98(_na_update)
      944    0.729    0.001    2.066    0.002 NetDiffInterpretation.py:38(applyFact)
580353/33117    0.846    0.000    1.967    0.000 copy.py:128(deepcopy)
49881/21945    0.065    0.000    1.683    0.000 copy.py:199(_deepcopy_list)
76640/35112    0.236    0.000    1.617    0.000 copy.py:257(_reconstruct)
87812/39112    0.172    0.000    1.438    0.000 copy.py:225(_deepcopy_dict)
     1809    1.291    0.001    1.291    0.001 {built-in method builtins.print}
 10481218    1.184    0.000    1.184    0.000 Atom.py:12(get_terms)
15800824/15800798    1.170    0.000    1.170    0.000 {built-in method builtins.len}
     4004    0.199    0.000    0.935    0.000 Homomorphism.py:11(get_atom_mapping)
  8003000    0.897    0.000    0.897    0.000 NetDiffEdge.py:21(getSource)
  8011000    0.876    0.000    0.876    0.000 NetDiffEdge.py:24(getTarget)
  6930123    0.805    0.000    0.805    0.000 Term.py:7(getId)
   831586    0.481    0.000    0.639    0.000 GRE.py:9(is_mapped)
  5244018    0.610    0.000    0.610    0.000 Atom.py:9(getId)
    31297    0.116    0.000    0.438    0.000 interval.py:197(from_atomic)
    24459    0.023    0.000    0.347    0.000 interval.py:38(closed)
    18192    0.031    0.000    0.240    0.000 NetDiffWorld.py:10(isSatisfied)
     6838    0.021    0.000    0.219    0.000 NetDiffWorld.py:19(update)
        4    0.011    0.003    0.200    0.050 NetDiffInterpretation.py:7(__init__)
    18192    0.076    0.000    0.187    0.000 interval.py:480(__contains__)
    24012    0.013    0.000    0.186    0.000 NetDiffGraphElement.py:18(getInitialWorld)
     6838    0.042    0.000    0.186    0.000 interval.py:426(__and__)
   214333    0.129    0.000    0.173    0.000 copy.py:241(_keep_alive)
    24012    0.029    0.000    0.168    0.000 NetDiffWorld.py:5(__init__)
   153280    0.040    0.000    0.158    0.000 copy.py:262(<genexpr>)
  1398180    0.158    0.000    0.158    0.000 NetCompTarget.py:17(getComponent)
    49495    0.087    0.000    0.145    0.000 interval.py:179(empty)
    31297    0.083    0.000    0.141    0.000 interval.py:101(__init__)
