tiempo total: 0:00:23.938855
tiempo de traduccion: 1900-01-01 00:00:00.018308
tiempo de construccion de homomorfismos 1900-01-01 00:00:00.040942
tiempo de ejecucion consulta SQL 1900-01-01 00:00:00.005601
tiempo creacion kb: 0:00:00.540206
tiempo para responder consulta: 0:00:20.730572
         66876939 function calls (66603370 primitive calls) in 24.102 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    157/1    0.001    0.000   24.115   24.115 {built-in method builtins.exec}
        1    0.009    0.009   24.115   24.115 prueba.py:1(<module>)
        1    0.021    0.021   23.930   23.930 prueba.py:240(test2)
        1    0.015    0.015   20.730   20.730 NetDERChase.py:333(answer_query)
        2    0.000    0.000   14.442    7.221 NetDiffProgram.py:14(diffusion)
        2    0.017    0.009   14.185    7.093 NetDiffInterpretation.py:46(applyLocalRule)
     8000    0.004    0.000   13.631    0.002 NetDiffInterpretation.py:79(_get_neighbours)
     8000    6.439    0.001   13.626    0.002 NetDiffGraph.py:57(get_neighbours)
     4000    0.003    0.000    6.810    0.002 NetDiffInterpretation.py:82(_get_qualified_neigh)
        2    0.125    0.062    5.779    2.889 NetDERChase.py:118(applyStepTGDChase)
        2    0.031    0.016    3.824    1.912 NetDERChase.py:68(get_body_mapping)
    17194    0.006    0.000    3.653    0.000 NetDiffInterpretation.py:31(areSatisfied)
     7194    1.508    0.000    3.647    0.001 NetDiffInterpretation.py:20(isSatisfied)
  8000000    2.215    0.000    2.953    0.000 NetDiffEdge.py:25(getTarget)
  8000000    2.179    0.000    2.857    0.000 NetDiffEdge.py:22(getSource)
     3613    2.373    0.001    2.373    0.001 {built-in method builtins.print}
  7251696    1.526    0.000    2.091    0.000 NetDiffGraphElement.py:20(equals)
 16028578    1.421    0.000    1.421    0.000 Term.py:11(getValue)
 16118178    1.388    0.000    1.388    0.000 Atom.py:15(getId)
    14434    1.293    0.000    1.293    0.000 {method 'execute' of 'mariadb.connection.cursor' objects}
        7    0.188    0.027    0.686    0.098 NetDERKB.py:99(add_ont_data)
     7194    0.036    0.000    0.600    0.000 NetDERChase.py:24(_exists)
  7421287    0.580    0.000    0.580    0.000 {built-in method builtins.isinstance}
176606/18036    0.243    0.000    0.569    0.000 copy.py:128(deepcopy)
     3597    0.032    0.000    0.560    0.000 NetDERChase.py:36(_save)
25187/17993    0.023    0.000    0.507    0.000 copy.py:199(_deepcopy_list)
    59006    0.126    0.000    0.471    0.000 Atom.py:80(__hash__)
150412/73086    0.062    0.000    0.456    0.000 {built-in method builtins.hash}
21631/7239    0.064    0.000    0.449    0.000 copy.py:257(_reconstruct)
     4000    0.003    0.000    0.424    0.000 NetDiffLocalRule.py:29(influence)
     4000    0.369    0.000    0.422    0.000 EnhancedTipping.py:10(influence)
21631/7239    0.045    0.000    0.384    0.000 copy.py:225(_deepcopy_dict)
        3    0.000    0.000    0.274    0.091 NetDERKB.py:332(update_info)
   106405    0.127    0.000    0.243    0.000 Constant.py:10(__hash__)
    21113    0.061    0.000    0.233    0.000 interval.py:197(from_atomic)
   161/25    0.002    0.000    0.173    0.007 <frozen importlib._bootstrap>:986(_find_and_load)
   161/25    0.000    0.000    0.172    0.007 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    14275    0.011    0.000    0.165    0.000 interval.py:38(closed)
        3    0.003    0.001    0.160    0.053 NetDERKB.py:148(_update_net_diff_facts)
        1    0.000    0.000    0.152    0.152 NetDERKB.py:23(__init__)
   158/26    0.001    0.000    0.148    0.006 <frozen importlib._bootstrap>:650(_load_unlocked)
     6838    0.012    0.000    0.148    0.000 NetDiffWorld.py:19(update)
   136/25    0.000    0.000    0.148    0.006 <frozen importlib._bootstrap_external>:777(exec_module)
    20360    0.009    0.000    0.145    0.000 NetDiffGraphElement.py:26(__hash__)
   189/26    0.000    0.000    0.138    0.005 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    12370    0.015    0.000    0.137    0.000 Atom.py:6(__init__)
     6838    0.029    0.000    0.127    0.000 interval.py:426(__and__)
        1    0.010    0.010    0.120    0.120 prueba.py:183(get_random_news_atoms)
    14392    0.065    0.000    0.118    0.000 RDBHomomorphism.py:28(__next__)
   176216    0.115    0.000    0.115    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        3    0.003    0.001    0.113    0.038 NetDERKB.py:307(_update_graph)
    21916    0.007    0.000    0.113    0.000 {method 'add' of 'set' objects}
     4006    0.010    0.000    0.112    0.000 NetDiffInterpretation.py:98(_na_update)
      944    0.009    0.000    0.109    0.000 NetDiffInterpretation.py:38(applyFact)
        1    0.002    0.002    0.106    0.106 prueba.py:210(get_netDiffGraph)
        4    0.006    0.001    0.103    0.026 NetDiffInterpretation.py:7(__init__)
    12012    0.007    0.000    0.095    0.000 NetDiffGraphElement.py:23(getInitialWorld)
    10069    0.006    0.000    0.088    0.000 NetDERKB.py:230(exists)
    48023    0.064    0.000    0.087    0.000 Constant.py:6(__init__)
    12012    0.026    0.000    0.087    0.000 NetDiffWorld.py:5(__init__)
      159    0.001    0.000    0.084    0.001 <frozen importlib._bootstrap>:890(_find_spec)
     9000    0.005    0.000    0.083    0.000 NetDiffEdge.py:16(__hash__)
      145    0.000    0.000    0.082    0.001 <frozen importlib._bootstrap_external>:1334(find_spec)
  164/145    0.001    0.000    0.082    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
      590    0.006    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     1416    0.003    0.000    0.078    0.000 NetDiffFact.py:9(__init__)
     7213    0.077    0.000    0.077    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.076    0.076 NetDERKB.py:1(<module>)
     6944    0.004    0.000    0.073    0.000 NetDiffGraphElement.py:10(__init__)
     7194    0.008    0.000    0.072    0.000 NetDiffWorld.py:10(isSatisfied)
    11360    0.006    0.000    0.072    0.000 NetDiffNode.py:16(__hash__)
     1416    0.005    0.000    0.071    0.000 NetCompTarget.py:10(__init__)
    28313    0.045    0.000    0.070    0.000 interval.py:179(empty)
     2201    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
    21113    0.038    0.000    0.067    0.000 interval.py:101(__init__)
   176217    0.066    0.000    0.066    0.000 {built-in method _hashlib.openssl_sha1}
     2201    0.066    0.000    0.066    0.000 {built-in method nt.stat}
        1    0.002    0.002    0.059    0.059 prueba.py:193(get_new_graph)
    68449    0.045    0.000    0.059    0.000 copy.py:241(_keep_alive)
     7194    0.023    0.000    0.058    0.000 interval.py:480(__contains__)
        1    0.000    0.000    0.056    0.056 subprocess.py:332(call)
        2    0.000    0.000    0.054    0.027 subprocess.py:1074(wait)
        2    0.000    0.000    0.054    0.027 subprocess.py:1349(_wait)
        1    0.054    0.054    0.054    0.054 {built-in method _winapi.WaitForSingleObject}
       42    0.000    0.000    0.053    0.001 <frozen importlib._bootstrap_external>:1173(__iter__)
       42    0.000    0.000    0.053    0.001 <frozen importlib._bootstrap_external>:1160(_recalculate)
      136    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:849(get_code)
        1    0.000    0.000    0.052    0.052 RDBHomomorphism.py:1(<module>)
       12    0.000    0.000    0.052    0.004 __init__.py:1(<module>)
        1    0.000    0.000    0.047    0.047 Homomorphism.py:1(<module>)
