tiempo total: 0:00:52.728956
tiempo de traduccion: 1900-01-01 00:00:00.018035
tiempo de construccion de homomorfismos 1900-01-01 00:00:00.170358
tiempo de ejecucion consulta SQL 1900-01-01 00:00:00.018026
tiempo creacion kb: 0:00:03.626254
tiempo para responder consulta: 0:00:42.129567
         118548927 function calls (117561250 primitive calls) in 52.885 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    157/1    0.001    0.000   52.898   52.898 {built-in method builtins.exec}
        1    0.027    0.027   52.898   52.898 prueba.py:1(<module>)
        1    0.066    0.066   52.702   52.702 prueba.py:240(test2)
        1    0.058    0.058   42.128   42.128 NetDERChase.py:333(answer_query)
        2    1.284    0.642   25.200   12.600 NetDERChase.py:118(applyStepTGDChase)
        2    0.131    0.065   15.424    7.712 NetDERChase.py:68(get_body_mapping)
        2    0.000    0.000   15.249    7.624 NetDiffProgram.py:14(diffusion)
        2    0.018    0.009   15.009    7.504 NetDiffInterpretation.py:46(applyLocalRule)
    38882    0.020    0.000   14.667    0.000 NetDiffInterpretation.py:31(areSatisfied)
    28882    6.003    0.000   14.647    0.001 NetDiffInterpretation.py:20(isSatisfied)
     8000    0.005    0.000   14.350    0.002 NetDiffInterpretation.py:79(_get_neighbours)
     8000    6.704    0.001   14.346    0.002 NetDiffGraph.py:57(get_neighbours)
 28948552    6.087    0.000    8.304    0.000 NetDiffGraphElement.py:20(equals)
     4000    0.004    0.000    7.157    0.002 NetDiffInterpretation.py:82(_get_qualified_neigh)
    14457    6.206    0.000    6.206    0.000 {built-in method builtins.print}
    57810    4.821    0.000    4.821    0.000 {method 'execute' of 'mariadb.connection.cursor' objects}
        7    3.229    0.461    4.661    0.666 NetDERKB.py:99(add_ont_data)
  8000000    2.352    0.000    3.155    0.000 NetDiffEdge.py:25(getTarget)
  8000000    2.290    0.000    3.028    0.000 NetDiffEdge.py:22(getSource)
    28882    0.145    0.000    2.480    0.000 NetDERChase.py:24(_exists)
707962/72256    0.972    0.000    2.346    0.000 copy.py:128(deepcopy)
    14441    0.131    0.000    2.270    0.000 NetDERChase.py:36(_save)
 29302491    2.251    0.000    2.251    0.000 {built-in method builtins.isinstance}
101095/72213    0.094    0.000    2.075    0.000 copy.py:199(_deepcopy_list)
86695/28927    0.293    0.000    1.833    0.000 copy.py:257(_reconstruct)
86695/28927    0.182    0.000    1.575    0.000 copy.py:225(_deepcopy_dict)
 16074266    1.553    0.000    1.553    0.000 Term.py:11(getValue)
 16347774    1.499    0.000    1.499    0.000 Atom.py:15(getId)
    28901    1.307    0.000    1.307    0.000 {method 'union' of 'set' objects}
   162382    0.349    0.000    1.290    0.000 Atom.py:80(__hash__)
394320/188462    0.169    0.000    1.237    0.000 {built-in method builtins.hash}
   269781    0.352    0.000    0.660    0.000 Constant.py:10(__hash__)
     4000    0.003    0.000    0.527    0.000 NetDiffLocalRule.py:29(influence)
        1    0.040    0.040    0.526    0.526 prueba.py:183(get_random_news_atoms)
     4000    0.470    0.000    0.524    0.000 EnhancedTipping.py:10(influence)
    57768    0.261    0.000    0.482    0.000 RDBHomomorphism.py:28(__next__)
        3    0.000    0.000    0.365    0.122 NetDERKB.py:332(update_info)
    28882    0.031    0.000    0.359    0.000 NetDiffWorld.py:10(isSatisfied)
   475500    0.334    0.000    0.334    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
    24370    0.030    0.000    0.308    0.000 Atom.py:6(__init__)
    28882    0.092    0.000    0.302    0.000 interval.py:480(__contains__)
    32913    0.020    0.000    0.277    0.000 NetDERKB.py:230(exists)
   274485    0.204    0.000    0.258    0.000 copy.py:241(_keep_alive)
    21113    0.063    0.000    0.243    0.000 interval.py:197(from_atomic)
    14275    0.069    0.000    0.234    0.000 interval.py:38(closed)
    56760    0.017    0.000    0.229    0.000 {method 'add' of 'set' objects}
   137087    0.142    0.000    0.211    0.000 Constant.py:6(__init__)
   475501    0.208    0.000    0.208    0.000 {built-in method _hashlib.openssl_sha1}
    50001    0.153    0.000    0.201    0.000 interval.py:179(empty)
        3    0.003    0.001    0.200    0.067 NetDERKB.py:148(_update_net_diff_facts)
    43364    0.186    0.000    0.186    0.000 {method 'fetchall' of 'mariadb.connection.cursor' objects}
        4    0.000    0.000    0.171    0.043 NetDERChase.py:60(_get_atoms_mapping)
        4    0.000    0.000    0.171    0.043 RDBHomomorphism.py:93(get_atoms_mapping)
   173390    0.047    0.000    0.169    0.000 copy.py:262(<genexpr>)
   161/25    0.002    0.000    0.168    0.007 <frozen importlib._bootstrap>:986(_find_and_load)
   161/25    0.000    0.000    0.168    0.007 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        3    0.003    0.001    0.165    0.055 NetDERKB.py:307(_update_graph)
        1    0.000    0.000    0.161    0.161 NetDERKB.py:23(__init__)
  1518551    0.155    0.000    0.155    0.000 {method 'get' of 'dict' objects}
    20360    0.010    0.000    0.154    0.000 NetDiffGraphElement.py:26(__hash__)
     6838    0.012    0.000    0.148    0.000 NetDiffWorld.py:19(update)
   158/26    0.001    0.000    0.143    0.005 <frozen importlib._bootstrap>:650(_load_unlocked)
   136/25    0.000    0.000    0.142    0.006 <frozen importlib._bootstrap_external>:777(exec_module)
   189/26    0.000    0.000    0.132    0.005 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6838    0.029    0.000    0.127    0.000 interval.py:426(__and__)
  1329186    0.124    0.000    0.124    0.000 {built-in method builtins.id}
   175912    0.119    0.000    0.120    0.000 Term.py:4(__init__)
     4006    0.009    0.000    0.112    0.000 NetDiffInterpretation.py:98(_na_update)
     6944    0.004    0.000    0.111    0.000 NetDiffGraphElement.py:10(__init__)
    16000    0.050    0.000    0.107    0.000 random.py:386(choices)
      944    0.008    0.000    0.105    0.000 NetDiffInterpretation.py:38(applyFact)
        1    0.002    0.002    0.100    0.100 prueba.py:210(get_netDiffGraph)
        4    0.007    0.002    0.095    0.024 NetDiffInterpretation.py:7(__init__)
    14441    0.062    0.000    0.090    0.000 Atom.py:42(map)
     9000    0.005    0.000    0.087    0.000 NetDiffEdge.py:16(__hash__)
    12012    0.008    0.000    0.086    0.000 NetDiffGraphElement.py:23(getInitialWorld)
     3000    0.005    0.000    0.085    0.000 NetDiffEdge.py:9(__init__)
      159    0.001    0.000    0.082    0.001 <frozen importlib._bootstrap>:890(_find_spec)
      145    0.000    0.000    0.081    0.001 <frozen importlib._bootstrap_external>:1334(find_spec)
  164/145    0.001    0.000    0.080    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
   475716    0.080    0.000    0.080    0.000 {method 'encode' of 'str' objects}
    11360    0.006    0.000    0.078    0.000 NetDiffNode.py:16(__hash__)
      590    0.006    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    12012    0.007    0.000    0.076    0.000 NetDiffWorld.py:5(__init__)
        1    0.000    0.000    0.074    0.074 NetDERKB.py:1(<module>)
    21113    0.041    0.000    0.071    0.000 interval.py:101(__init__)
     2201    0.001    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     2201    0.064    0.000    0.064    0.000 {built-in method nt.stat}
     1416    0.003    0.000    0.057    0.000 NetDiffFact.py:9(__init__)
    16000    0.043    0.000    0.055    0.000 random.py:399(<listcomp>)
    86646    0.055    0.000    0.055    0.000 Term.py:40(__str__)
       12    0.000    0.000    0.052    0.004 __init__.py:1(<module>)
       42    0.000    0.000    0.051    0.001 <frozen importlib._bootstrap_external>:1173(__iter__)
       42    0.000    0.000    0.051    0.001 <frozen importlib._bootstrap_external>:1160(_recalculate)
